iter	Passed	Remaining
358	64685	115496
359	64882	115347
360	65035	115117
361	65188	114890
362	65372	114716
363	65577	114580
364	65894	114638
365	66089	114483
366	66293	114343
367	66665	114491
368	66890	114385
369	67049	114165
370	67450	114356
371	67692	114277
372	68038	114369
373	68290	114304
374	68481	114135
375	68753	114100
376	69111	114207
377	69327	114079
378	69477	113840
379	69612	113578
380	69792	113389
381	70000	113246
382	70155	113018
383	70313	112794
384	70477	112581
385	70645	112373
386	70813	112166
387	70988	111970
388	71166	111781
389	71361	111616
390	71516	111390
391	71680	111177
392	71894	111042
393	72073	110853
394	72251	110664
395	72497	110576
396	72707	110434
397	72879	110234
398	73093	110097
399	73278	109917
400	73458	109730
401	73647	109554
402	73835	109379
403	74130	109360
404	74397	109300
405	74713	109309
406	75087	109402
407	75346	109325
408	75515	109119
409	75705	108942
410	75869	108728
411	76120	108637
412	76445	108652
413	76737	108618
414	76974	108506
415	77140	108294
416	77380	108184
417	77562	107993
418	77770	107838
419	77913	107595
420	78119	107437
421	78310	107259
422	78642	107273
423	79019	107347
424	79334	107334
425	79613	107272
426	79875	107186
427	80052	106986
428	80278	106851
429	80452	106645
430	80623	106438
431	80824	106269
432	81054	106137
433	81227	105932
434	81456	105799
435	81620	105582
436	81793	105376
437	81964	105168
438	82115	104936
439	82309	104757
440	82488	104559
441	82628	104313
442	82787	104092
443	83002	103940
444	83190	103754
445	83400	103596
446	83776	103642
447	84024	103529
448	84343	103503
449	84596	103396
450	84750	103165
451	84961	103006
452	85320	103025
453	85536	102869
454	85694	102645
455	85888	102463
456	86085	102284
457	86246	102065
458	86408	101845
459	86589	101648
460	86754	101433
461	86936	101237
462	87145	101073
463	87306	100853
464	87491	100662
465	87652	100442
466	87844	100259
467	88011	100047
468	88149	99802
469	88312	99586
470	88523	99424
471	88723	99249
472	88880	99027
473	89090	98864
474	89267	98663
475	89430	98448
476	89626	98270
477	89827	98095
478	89989	97879
479	90192	97708
480	90353	97491
481	90492	97251
482	90652	97033
483	90829	96834
484	90998	96626
485	91182	96436
486	91375	96254
487	91486	95986
488	91662	95786
489	91869	95619
490	92014	95388
491	92161	95159
492	92383	95006
493	92528	94776
494	92696	94569
495	92886	94384
496	93069	94192
497	93269	94018
498	93474	93849
499	93653	93653
500	93845	93470
501	94028	93279
502	94273	93148
503	94442	92943
504	94615	92742
505	94783	92535
506	94986	92363
507	95139	92142
508	95341	91969
509	95491	91746
510	95613	91496
511	95786	91296
512	95978	91114
513	96174	90935
514	96313	90703
515	96511	90526
516	96666	90309
517	96876	90143
518	97029	89925
519	97327	89841
520	97590	89723
521	97858	89609
522	98124	89494
523	98382	89370
524	98561	89174
525	98740	88979
526	98898	88765
527	99190	88670
528	99392	88495
529	99593	88318
530	99794	88142
531	99963	87937
532	100175	87770
533	100341	87563
534	100574	87415
535	100847	87300
536	101090	87159
537	101291	86982
538	101462	86779
539	101671	86608
540	101985	86527
541	102203	86364
542	102361	86149
543	102548	85959
544	102724	85760
545	102901	85563
546	103080	85366
547	103232	85148
548	103423	84962
549	103588	84754
550	103782	84570
551	103983	84392
552	104140	84178
553	104317	83980
554	104495	83784
555	104652	83571
556	104808	83357
557	105020	83188
558	105230	83016
559	105405	82818
560	105610	82643
561	105760	82425
562	105960	82246
563	106103	82023
564	106282	81828
565	106617	81752
566	106949	81674
567	107311	81617
568	107584	81492
569	107806	81327
570	107984	81129
571	108162	80932
572	108356	80747
573	108627	80618
574	108953	80530
575	109174	80364
576	109466	80250
577	109604	80022
578	109828	79857
579	110127	79747
580	110405	79621
581	110718	79519
582	110945	79355
583	111122	79156
584	111315	78967
585	111485	78762
586	111737	78615
587	111942	78435
588	112269	78341
589	112544	78208
590	112803	78065
591	113033	77901
592	113218	77706
593	113413	77518
594	113590	77318
595	113794	77135
596	114014	76964
597	114220	76783
598	114373	76567
599	114550	76366
600	114714	76158
601	114890	75957
602	115057	75751
603	115252	75562
604	115429	75363
605	115604	75161
606	115810	74980
607	116034	74811
608	116174	74588
609	116375	74404
610	116530	74190
611	116663	73963
612	116940	73827
613	117241	73705
614	117427	73511
615	117580	73297
616	117756	73096
617	117935	72898
618	118185	72744
619	118339	72530
620	118559	72357
621	118739	72159
622	118927	71967
623	119115	71774
624	119291	71575
625	119478	71382
626	119643	71175
627	119969	71064
628	120259	70932
629	120452	70742
630	120653	70556
631	120821	70351
632	121021	70165
633	121197	69965
634	121413	69788
635	121546	69564
636	121726	69366
637	121955	69197
638	122131	68997
639	122301	68794
640	122516	68616
641	122686	68413
642	122830	68196
643	122977	67981
644	123122	67765
645	123309	67572
646	123512	67387
647	123678	67183
648	123820	66966
649	123972	66754
650	124169	66566
651	124357	66375
652	124534	66177
653	124759	66004
654	124974	65826
655	125202	65654
656	125382	65458
657	125581	65271
658	125737	65062
659	125880	64847
660	126096	64669
661	126300	64485
662	126478	64288
663	126645	64085
664	126892	63923
665	127053	63717
666	127221	63515
667	127409	63323
668	127641	63153
669	127816	62954
670	127932	62727
671	128122	62535
672	128342	62359
673	128513	62159
674	128657	61945
675	128856	61759
676	129124	61606
677	129381	61446
678	129666	61300
679	129846	61104
680	129979	60886
681	130196	60707
682	130384	60515
683	130561	60318
684	130729	60116
685	130987	59956
686	131153	59754
687	131356	59568
688	131514	59362
689	131669	59155
690	131827	58950
691	132055	58776
692	132202	58565
693	132419	58386
694	132554	58171
695	132706	57963
696	132884	57767
697	133058	57569
698	133273	57389
699	133438	57188
700	133597	56983
701	133748	56776
702	133925	56580
703	134096	56381
704	134308	56200
705	134499	56009
706	134666	55809
707	134819	55603
708	134987	55403
709	135150	55202
710	135297	54994
711	135471	54797
712	135650	54602
713	135865	54422
714	136035	54223
715	136205	54025
716	136356	53819
717	136571	53639
718	136768	53451
719	136909	53242
720	137091	53049
721	137248	52846
722	137423	52650
723	137586	52450
724	137793	52266
725	137994	52080
726	138173	51886
727	138355	51693
728	138514	51491
729	138649	51281
730	138830	51088
731	138977	50882
732	139150	50686
733	139325	50491
734	139494	50293
735	139651	50092
736	139878	49916
737	140049	49719
738	140235	49528
739	140451	49347
740	140673	49169
741	140844	48973
742	141037	48784
743	141229	48595
744	141396	48397
745	141548	48194
746	141727	48001
747	141939	47819
748	142149	47636
749	142395	47465
750	142597	47279
751	142731	47070
752	142862	46861
753	143035	46666
754	143188	46465
755	143378	46275
756	143548	46079
757	143755	45895
758	143906	45693
759	144048	45489
760	144243	45301
761	144440	45113
762	144622	44922
763	144767	44718
764	144966	44532
765	145132	44335
766	145315	44144
767	145474	43945
768	145629	43745
769	145789	43547
770	145988	43360
771	146169	43169
772	146345	42975
773	146495	42775
774	146699	42590
775	146891	42401
776	147081	42212
777	147486	42084
778	147690	41899
779	147858	41703
780	148064	41518
781	148254	41329
782	148465	41145
783	148677	40962
784	148890	40778
785	149079	40589
786	149342	40419
787	149566	40238
788	149848	40073
789	150056	39888
790	150432	39747
791	150615	39555
792	150802	39364
793	150996	39175
794	151162	38978
795	151355	38789
796	151552	38601
797	151720	38405
798	151871	38205
799	152023	38005
800	152203	37813
801	152389	37622
802	152522	37418
803	152693	37223
804	152946	37049
805	153148	36862
806	153428	36693
807	153626	36505
808	153834	36319
809	154027	36129
810	154233	35943
811	154446	35758
812	154669	35575
813	154871	35388
814	155065	35198
815	155208	34997
816	155410	34810
817	155575	34614
818	155718	34413
819	155970	34237
820	156150	34045
821	156330	33852
822	156501	33658
823	156688	33467
824	156949	33292
825	157170	33108
826	157351	32916
827	157515	32720
828	157735	32536
829	157922	32345
830	158059	32144
831	158255	31955
832	158410	31758
833	158575	31563
834	158737	31367
835	158925	31176
836	159126	30988
837	159297	30794
838	159530	30613
839	159670	30413
840	159894	30229
841	160074	30037
842	160239	29842
843	160452	29657
844	160666	29471
845	160892	29287
846	161076	29096
847	161258	28904
848	161485	28721
849	161675	28531
850	161842	28336
851	162007	28142
852	162190	27950
853	162434	27769
854	162632	27580
855	162774	27382
856	162928	27186
857	163134	26998
858	163304	26805
859	163454	26608
860	163705	26428
861	163869	26234
862	164167	26061
863	164350	25869
864	164486	25671
865	164647	25476
866	164812	25282
867	164977	25088
868	165150	24896
869	165320	24703
870	165487	24509
871	165680	24320
872	165844	24126
873	166025	23934
874	166220	23745
875	166423	23557
876	166599	23365
877	166782	23174
878	166980	22985
879	167186	22798
880	167339	22603
881	167488	22407
882	167681	22218
883	167851	22025
884	168004	21831
885	168154	21636
886	168334	21445
887	168502	21252
888	168682	21061
889	168867	20871
890	169074	20683
891	169261	20493
892	169421	20300
893	169589	20107
894	169747	19914
895	169913	19722
896	170094	19531
897	170292	19342
898	170462	19150
899	170651	18961
900	170868	18774
901	171064	18585
902	171249	18395
903	171416	18203
904	171576	18010
905	171768	17821
906	171969	17633
907	172121	17439
908	172271	17246
909	172460	17056
910	172649	16866
911	172827	16676
912	173013	16486
913	173184	16295
914	173385	16106
915	173537	15913
916	173684	15720
917	173836	15527
918	174037	15339
919	174252	15152
920	174441	14962
921	174614	14772
922	174838	14585
923	175009	14394
924	175187	14204
925	175372	14014
926	175550	13824
927	175787	13638
928	176003	13451
929	176311	13270
930	176530	13083
931	176743	12895
932	177086	12716
933	177339	12531
934	177494	12339
935	177681	12149
936	177840	11957
937	178023	11767
938	178246	11579
939	178394	11386
940	178543	11194
941	178734	11004
942	178906	10814
943	179058	10622
944	179236	10431
945	179406	10240
946	179575	10050
947	179739	9859
948	179941	9670
949	180105	9479
950	180259	9287
951	180451	9098
952	180621	8907
953	180806	8718
954	180990	8528
955	181171	8338
956	181323	8147
957	181488	7956
958	181674	7767
959	181827	7576
960	181964	7384
961	182141	7194
962	182364	7006
963	182538	6816
964	182674	6625
965	182903	6437
966	183101	6248
967	183268	6058
968	183467	5869
969	183635	5679
970	183793	5489
971	184018	5300
972	184184	5110
973	184358	4921
974	184523	4731
975	184728	4542
976	184876	4352
977	185039	4162
978	185217	3973
979	185413	3783
980	185577	3594
981	185753	3404
982	185937	3215
983	186073	3025
984	186212	2835
985	186421	2646
986	186604	2457
987	186755	2268
988	186936	2079
989	187112	1890
990	187289	1700
991	187474	1511
992	187639	1322
993	187811	1133
994	188030	944
995	188192	755
996	188364	566
997	188528	377
998	188719	188
999	188883	0
